product,dimension,method,price,standard_error,runtime_seconds,n_train_paths,n_test_paths,seed
Bermudan max-call,2,LS polynomial degree 2,33.93610555323625,0.20977238858099076,0.02529540000250563,5000,20000,42
Bermudan max-call,2,LS neural network,35.19415183852737,0.2339352209963356,22.158085000002757,5000,20000,42
Bermudan max-call,5,LS polynomial degree 2,57.90409313367619,0.22122154548072093,0.059030800010077655,5000,20000,42
Bermudan max-call,5,LS neural network,58.54265142409416,0.23565058688250004,69.47732429997995,5000,20000,42
